# Duna Press — exceções ao noindex.
#
# URLs que o Search Console mostra receberem cliques reais. Permanecem no
# índice apesar da régua editorial: dado observado supera regra presumida.
#
# Gerado a partir de 16 meses de dados. Três páginas com tráfego foram
# deliberadamente NÃO incluídas por conterem desinformação conspiratória —
# tráfego não é critério suficiente para reindexar o que o jornal não
# sustentaria hoje.
#
# url	cliques	motivo original
/centro-terapeutico-especializado-em-autismo-inicia-atividades-em-itajai/	1	curto,agencia,noticia
/mayans-m-c-anuncia-temporada-final-ganha-trailer-e-data-de-estreia/	1	curto
/problemas-de-visao-em-pacientes-apos-vacinacao-contra-covid-19/	1	noticia
/pergaminho-com-textos-do-livro-egipcio-dos-mortos-e-encontrado/	1	curto
/os-pitbulls-e-a-injustica-social/	1	noticia
/o-que-os-noruegueses-andam-ouvindo-na-noruega/	1	curto
/o-numero-de-atletas-que-morrem-repentinamente-aumentou-em-3-800/	1	noticia
/torno-mecanico-de-roberts/	1	noticia
/o-misterio-em-torno-dos-afogados-que-trabalhavam-para-o-presidente-esta-se-intensificando/	1	curto
/militares-brasileiros-concluem-curso-nos-estados-unidos-da-america-2/	1	curto,agencia
/medicos-em-pernambuco-denunciados-por-atender-pacientes/	1	vazio
/criancas-do-cei-neusa-reis-em-itajai-sc-lancam-livro-de-historias/	1	agencia,noticia
/a-senhora-com-o-cachorrinho/	1	curto,noticia
/pf-deflagra-a-operacao-muralha-norte-em-parnaiba-pi/	1	curto,noticia
/oficiais-brasileiros-concluem-curso-internacional-de-comando-e-estado-maior-na-alemanha/	1	curto,agencia
/o-louco-regressa-com-novo-album-fama/	1	curto
/estados-unidos-nova-esperanca-para-criancas-com-doenca-de-canavan/	1	noticia
/documentos-vazados-expoem-as-tentativas-ucranianas-de-desestabilizar-a-russia-e-levar-a-otan-a-uma-guerra-em-grande-escala-com-moscou/	1	noticia
/documentario-frances-revela-que-o-bacalhau-noruegues-e-sabotado-na-china/	1	noticia
/cinema-noruegues-aposta-em-franquias-e-refilmagens-no-segundo-semestre-de-2019/	1	curto
/togados-indicados-a-dedo-incendeiam-brasil-e-pedidos-para-suas-destituicoes-batem-recorde/	1	noticia
/bomba-oswaldo-eustaquio-revela-espionagem-chinesa-no-brasil/	1	curto,noticia
/alunos-da-escola-de-especialistas-encerram-periodo-de-quarentena/	1	agencia
/yom-kipur-agora-faz-parte-do-calendario-oficial-do-estado-de-s-paulo/	1	curto,noticia
/presidente-do-paraguai-destaca-milagre-economico-e-aspira-a-transformar-o-pais-em-centro-regional-competitivo/	1	curto
/festival-vamos-passear-estreia-em-belem-pa-com-muita-festa-no-estadio-do-mangueirao-no-dia-dos-pais/	1	noticia
/deus-nao-teve-interesse-em-esconder-as-fraquezas-dos-grandes-homens-da-biblia/	1	curto
/a-complexa-jornada-de-justica-de-batman-um-mergulho-profundo-na-mente-do-cavaleiro-das-trevas/	1	curto
/up-abre-inscricoes-para-mestrado-e-doutorado/	1	curto
/ufal-prepara-drones-para-monitorar-litoral-brasileiro/	1	agencia,noticia
/solenidade-marca-a-assuncao-do-comando-interino-da-ad-5/	1	curto,agencia
/os-suinos-nos-eua-foram-secretamente-vacinados-com-injecoes-de-mrna/	1	noticia
/o-ira-nao-esquecera-nem-perdoara-os-responsaveis-pelo-ataque-quimico-de-sardasht/	1	curto
/neuroplasticidade-6-formas-de-estimular-o-cerebro-a-aprender-mais-e-por-mais-tempo/	1	agencia
/israel-apenas-70-anos-atras-os-judeus-foram-levados-para-o-matadouro-como-ovelhas-benjamin-netanyahu/	1	noticia
/presidente-frances-anuncia-projeto-de-lei-para-legalizar-morte-assistida/	1	curto
/paises-do-tiar-ativam-tratado-para-crise-na-venezuela/	1	agencia,noticia
/israel-diz-que-lider-palestino-nao-quer-paz/	1	noticia
/fake-news-noticia-de-que-a-funai-estaria-distribuindo-cestas-contaminadas-no-para-e-falsa/	1	curto,noticia
/estimulacao-eletrica-nao-reduz-fadiga-muscular-em-destreinados/	1	agencia
/esquadrao-hu-51-realiza-resgate-de-tripulante-de-barco-pesqueiro/	1	curto,agencia
/beleza-aprazivel-e-duradoura-arranjos-com-plantas-secas-ganham-espaco-e-transformam-ambientes/	1	noticia
/ocidente-acusado-de-rapto-de-criancas-ucranianas-para-abuso-sexual-e-trafico-de-orgaos-por-ex-cia/	1	curto
/o-uso-da-bioinformatica-como-ferramenta-no-combate-ao-novo-coronavirus/	1	noticia
/lancamento-do-livro-os-cabelos-de-lindu-acontece-dia-11-de-maio-no-sao-goncalo-shopping/	1	curto
/jovem-de-roraima-que-sofreu-acidente-de-moto-ha-10-meses-foi-encaminhado-a-capital-paranaense-para-cirurgia-de-alongamento-osseo/	1	agencia,noticia
/itajai-sc-aprova-verba-de-r-7-milhoes-para-sediar-the-ocean-race-e-com-um-barco-nacional-o-scbrasil/	1	noticia
/investimento-em-pesquisa-garante-a-prati-donaduzzi-premiacao-pela-epoca-negocios/	1	curto
/franca-considera-planos-alternativos-para-abertura-dos-jogos-olimpicos-devido-a-ameaca-terrorista/	1	curto
/descoberta-na-ilha-de-pascoa-a-fascinante-jornada-da-rapamicina-como-elixir-da-vida/	1	curto
/biden-da-sinal-verde-para-desclassificar-documentos-sobre-a-origem-da-covid/	1	agencia,noticia
/assinatura-de-acordo-de-cooperacao-tecnica-entre-a-procuradoria-geral-da-uniao-e-o-exercito-brasileiro/	1	curto,agencia
/100-milhoes-de-animais-ja-foram-injetados-com-tecnologia-de-mrna/	1	curto,noticia
/viktor-orban-reafirma-compromisso-da-hungria-com-a-preservacao-da-identidade-nacional/	1	curto
/the-flash-barraco-confusao-e-gritaria/	1	noticia
/movimento-coordena-serie-de-audiencias-publicas-para-debater-o-passaporte-sanitario/	1	noticia
/ministerio-da-economia-aprova-financiamento-externo-de-us-230-milhoes-para-agronordeste/	1	agencia,noticia
/militares-da-fab-participam-de-campanha-de-doacao-de-sangue/	1	curto,agencia
/machado-de-assis-e-zumbi-noel/	1	noticia
/estudo-com-comparativos-educacionais-de-18-paises-da-america-latina-e-do-caribe/	1	agencia,noticia
/enorme-estudo-encontrou-efeitos-colaterais-piores-da-infeccao-por-covid-do-que-da-vacinacao/	1	noticia
/coronavirus-uma-pandemia-falsa-quem-esta-por-tras-disso/	1	noticia
/china-insta-rapida-admissao-da-palestina-na-onu-para-corrigir-injustica-historica/	1	curto
/canal-spotnik-destapa-bomba-do-orcamento-bilionario-do-congresso-brasileiro/	1	vazio
/aumento-das-detencoes-por-ameaca-jihadista-em-barcelona-preocupa-autoridades/	1	curto
/aumento-alarmante-mesquitas-clandestinas-em-roma-quase-dobram-em-uma-decada/	1	curto
/allan-dos-santos-jornalista-perseguido-por-juizes-do-mecanismo-tem-prisao-captura-e-pedido-de-extradicao-decretada/	1	curto,noticia
/a-saga-dos-conservadores-no-brasil-do-seculo-21/	1	noticia
